Implementation,gasUsage,function
Solidity,51515,transferToken
Inline assembly,51014,transferToken
Standalone Yul,50773,transferToken
Solidity,46095,approve
Inline assembly,45936,approve
Standalone Yul,45713,approve
Solidity,32410,transferFromToken
Inline assembly,31654,transferFromToken
Standalone Yul,31341,transferFromToken
